scan_date,代碼,股票名稱,entry_price,訊號類型,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,K值,D值,週K值,週D值,MACD柱,趨勢突破,量能倍數,status,source_file,days_tracked,return_3d%,return_5d%,return_10d%,max_gain_5d%,max_drawdown_5d%,max_gain_10d%,max_drawdown_10d%,is_success_5d,return_1d%,return_20d%,max_gain_20d%,max_drawdown_20d%,訊號方向,成交量(張),is_profitable_5d,is_clean_win_5d
2026-07-29,3260.TWO,威剛,394.0,週即將黃金交叉、MACD翻正,71.0,B可追蹤,0.61,>MA5,糾結,65.5,55.9,31.1,31.1,0.6067,-,-,done,signal_tracking_20260806.csv,13.0,-0.63,0.51,3.93,4.95,-4.57,10.91,-4.57,0.0,-3.93,,10.91,-4.57,,,1.0,0.0
2026-07-29,3441.TWO,聯一光,77.2,漲幅達標、MACD翻正,62.0,C觀察,4.11,>MA5,糾結,63.1,39.7,55.4,63.9,0.0032,-,-,done,signal_tracking_20260806.csv,13.0,19.69,10.62,12.95,24.09,-1.04,24.09,-1.04,1.0,-1.04,,24.09,-1.04,,,1.0,1.0
2026-07-29,4904.TW,遠傳,106.5,週黃金交叉,68.0,B可追蹤,1.43,>MA5,多頭,80.2,76.9,58.8,56.7,0.8373,-,-,done,signal_tracking_20260806.csv,13.0,-2.82,-5.16,-5.16,0.0,-6.2,0.0,-6.2,0.0,-0.94,,0.0,-7.89,,,0.0,0.0
2026-07-29,4976.TW,佳凌,37.7,漲幅達標、MACD翻正、趨勢突破,100.0,A強勢追蹤,4.62,>MA5,糾結,56.5,32.2,39.9,48.6,0.031,趨勢突破,3.94,done,signal_tracking_20260806.csv,13.0,0.8,-3.18,-1.72,8.75,-9.95,8.75,-9.95,0.0,-9.95,,8.75,-9.95,,,0.0,0.0
2026-07-29,5490.TWO,同亨,33.15,週黃金交叉,88.0,A強勢追蹤,2.7,>MA5,多頭,67.1,64.3,61.2,56.6,0.2506,-,-,done,signal_tracking_20260806.csv,13.0,6.79,-3.47,-7.84,9.65,-9.5,9.65,-9.5,0.0,-5.73,,9.65,-9.5,,,0.0,0.0
2026-07-29,5531.TW,鄉林,7.9,週即將黃金交叉、MACD翻正、趨勢突破,100.0,A強勢追蹤,0.47,>MA5,空頭,49.8,39.9,24.1,26.5,0.0029,趨勢突破,2.97,done,signal_tracking_20260806.csv,13.0,-0.63,-1.52,-6.71,1.01,-2.53,1.01,-7.34,0.0,-1.9,,1.01,-7.34,,,0.0,0.0
2026-07-29,5904.TWO,寶雅,720.0,週即將黃金交叉、MACD翻正,78.0,A強勢追蹤,4.19,>MA5,糾結,66.8,50.8,65.8,68.5,1.7477,-,-,資料異常,signal_tracking_20260806.csv,5.0,-90.0,-90.0,,-90.0,-90.0,-90.0,-90.0,0.0,-90.0,,-90.0,-90.0,,,,
2026-07-29,6603.TWO,富強鑫,26.2,MACD翻正、趨勢突破,100.0,A強勢追蹤,2.52,>MA5,糾結,75.5,59.0,62.0,53.4,0.0633,趨勢突破,2.87,done,signal_tracking_20260806.csv,13.0,0.38,2.1,5.73,3.82,-6.11,12.21,-6.11,0.0,-5.34,,16.41,-6.11,,,1.0,0.0
2026-07-29,8050.TWO,廣積,60.8,黃金交叉、週黃金交叉,93.0,A強勢追蹤,3.12,>MA5,多頭,59.6,57.1,61.5,60.4,-0.0544,-,-,done,signal_tracking_20260806.csv,13.0,-4.61,6.74,-3.29,6.74,-13.65,14.14,-13.65,0.0,-9.87,,14.14,-13.65,,,1.0,0.0
2026-07-29,8114.TW,振樺電,209.5,週即將黃金交叉,55.0,C觀察,2.17,MA5~10,多頭,54.1,57.0,34.0,34.3,2.3451,-,-,done,signal_tracking_20260806.csv,13.0,2.63,9.79,2.63,12.89,-9.79,12.89,-9.79,0.0,-8.59,,12.89,-9.79,,,1.0,0.0
2026-07-29,8271.TW,宇瞻,222.5,漲幅達標、週黃金交叉、趨勢突破,100.0,A強勢追蹤,7.11,>MA5,多頭,81.0,74.7,40.2,35.9,4.8673,趨勢突破,2.69,done,signal_tracking_20260806.csv,13.0,-1.35,2.02,4.27,6.97,-9.89,12.13,-9.89,0.0,-8.31,,12.13,-9.89,,,1.0,0.0
2026-07-29,9917.TW,中保科,111.0,趨勢突破,89.0,A強勢追蹤,1.78,>MA5,多頭,78.3,71.1,28.7,31.8,0.6823,趨勢突破,2.61,done,signal_tracking_20260806.csv,13.0,-1.35,-2.7,-3.15,1.35,-3.15,1.35,-3.6,0.0,0.0,,1.35,-3.6,,,0.0,0.0
2026-07-29,9939.TW,宏全,130.0,週即將黃金交叉,66.0,B可追蹤,0.13,>MA5,多頭,59.9,66.5,63.5,64.6,0.3505,-,-,done,signal_tracking_20260806.csv,13.0,-1.15,3.08,3.08,3.08,-2.31,11.92,-2.31,0.0,-0.77,,11.92,-2.31,,,1.0,0.0
2026-07-29,9940.TW,信義,20.8,黃金交叉,71.0,B可追蹤,2.11,>MA5,多頭,76.8,70.0,70.1,57.9,0.057,-,-,done,signal_tracking_20260806.csv,13.0,-0.72,-1.92,4.33,0.96,-2.88,4.81,-2.88,0.0,0.24,,5.05,-2.88,,,0.0,0.0
2026-07-30,1104.TW,環泥,26.85,趨勢突破,86.0,A強勢追蹤,0.34,>MA5,糾結,44.1,34.3,17.6,24.4,0.044,趨勢突破,2.0,done,signal_tracking_20260806.csv,12.0,-1.49,-1.49,-1.12,2.61,-1.86,2.61,-1.86,0.0,-0.19,,2.61,-1.86,,,0.0,0.0
2026-07-30,1218.TW,泰山,16.0,跳空、黃金交叉、MACD翻正、趨勢突破,66.0,B可追蹤,-2.15,>MA5,空頭,23.0,21.8,9.5,12.8,0.007,趨勢突破,1.5,done,signal_tracking_20260806.csv,12.0,-4.69,-2.81,-2.81,1.56,-5.0,1.56,-5.0,0.0,-0.31,,1.56,-11.56,,,0.0,0.0
2026-07-30,1227.TW,佳格,29.8,黃金交叉,59.0,C觀察,0.38,>MA5,空頭,50.9,45.4,63.3,57.7,-0.089,-,-,done,signal_tracking_20260806.csv,12.0,-3.69,-3.19,-3.02,1.34,-4.36,1.34,-4.53,0.0,-1.85,,1.34,-4.53,,,0.0,0.0
2026-07-30,1476.TW,儒鴻,338.5,週黃金交叉,66.0,B可追蹤,1.79,>MA5,糾結,54.7,53.5,45.5,43.5,0.5498,-,-,done,signal_tracking_20260806.csv,12.0,4.73,7.68,-3.55,8.71,0.74,8.71,-5.17,1.0,2.22,,8.71,-6.79,,,1.0,1.0
2026-07-30,1477.TW,聚陽,222.0,MACD翻正,62.0,C觀察,0.72,>MA5,糾結,60.5,42.0,42.7,46.4,0.0257,-,-,done,signal_tracking_20260806.csv,12.0,0.0,1.8,-1.13,3.38,-4.28,3.38,-4.28,0.0,-1.13,,3.38,-8.56,,,1.0,0.0
2026-07-30,1526.TW,日馳,18.9,漲幅達標、黃金交叉,84.0,A強勢追蹤,9.32,>MA5,多頭,71.8,66.7,63.3,44.6,0.3042,-,-,done,signal_tracking_20260806.csv,12.0,-5.82,1.32,-6.88,3.44,-8.73,3.44,-8.73,0.0,-3.97,,3.44,-10.05,,,1.0,0.0
